timestamp,simulation_time,elevator_id,event_type,current_floor,direction,is_moving,occupancy,pending_requests,time_since_last_request,hour_of_day,day_of_week
1751331166.891501,0.0009388923645019531,elevator_1,moving,1,1,1,0,1,1.5974044799804688e-05,21,0
1751331167.897501,1.0069389343261719,elevator_1,moving,2,1,1,0,1,1.0060160160064697,21,0
1751331168.903875,2.013313055038452,elevator_1,moving,3,1,0,0,0,2.01239013671875,21,0
1751331168.903875,2.013313055038452,elevator_1,arrived,3,0,0,0,0,2.01239013671875,21,0
1751331170.911757,4.021194934844971,elevator_1,moving,2,-1,0,0,0,0.0003178119659423828,21,0
1751331170.911757,4.021194934844971,elevator_1,arrived,2,0,0,0,0,0.0003178119659423828,21,0
1751331173.922013,7.031450986862183,elevator_1,moving,1,-1,0,0,0,0.0003349781036376953,21,0
1751331173.922013,7.031450986862183,elevator_1,arrived,1,0,0,0,0,0.0003349781036376953,21,0
1751331175.9330041,9.042442083358765,elevator_1,moving,0,-1,0,0,0,0.00030112266540527344,21,0
1751331175.9330041,9.042442083358765,elevator_1,arrived,0,0,0,0,0,0.00030112266540527344,21,0
1751331183.9714549,8.033185958862305,elevator_1,moving,1,1,1,0,1,0.0002639293670654297,21,0
1751331184.980256,9.041987180709839,elevator_1,moving,2,1,1,0,1,1.0090651512145996,21,0
1751331185.98958,10.051311016082764,elevator_1,moving,3,1,0,0,0,2.0183889865875244,21,0
1751331185.98958,10.051311016082764,elevator_1,arrived,3,0,0,0,0,2.0183889865875244,21,0
1751331192.0190668,16.080797910690308,elevator_1,moving,4,1,1,0,1,0.0003058910369873047,21,0
1751331193.0296419,17.091372966766357,elevator_1,moving,5,1,0,0,0,1.010880947113037,21,0
1751331193.0296419,17.091372966766357,elevator_1,arrived,5,0,0,0,0,1.010880947113037,21,0
1751331200.066695,24.12842607498169,elevator_1,moving,4,-1,1,0,1,0.000370025634765625,21,0
1751331201.076561,25.13829207420349,elevator_1,moving,3,-1,1,0,1,1.0102360248565674,21,0
1751331202.085664,26.147395133972168,elevator_1,moving,2,-1,0,0,0,2.019339084625244,21,0
1751331202.085664,26.147395133972168,elevator_1,arrived,2,0,0,0,0,2.019339084625244,21,0
1751331208.1116312,32.173362255096436,elevator_1,moving,3,1,1,0,1,0.0002541542053222656,21,0
1751331209.119939,33.18167018890381,elevator_1,moving,4,1,1,0,1,1.0085620880126953,21,0
1751331210.130243,34.19197416305542,elevator_1,moving,5,1,0,0,0,2.0188660621643066,21,0
1751331210.130243,34.19197416305542,elevator_1,arrived,5,0,0,0,0,2.0188660621643066,21,0
1751331216.157873,40.21960401535034,elevator_1,moving,4,-1,1,0,1,6.794929504394531e-05,21,0
1751331217.16702,41.22875118255615,elevator_1,moving,3,-1,0,0,0,1.0092151165008545,21,0
1751331217.16702,41.22875118255615,elevator_1,arrived,3,0,0,0,0,1.0092151165008545,21,0
1751331224.1976562,48.259387254714966,elevator_1,moving,4,1,1,0,1,0.0002770423889160156,21,0
1751331225.207409,49.269140005111694,elevator_1,moving,5,1,0,0,0,1.0100297927856445,21,0
1751331225.207409,49.269140005111694,elevator_1,arrived,5,0,0,0,0,1.0100297927856445,21,0
1751331232.243977,56.305708169937134,elevator_1,moving,4,-1,1,0,1,0.0002791881561279297,21,0
1751331233.2546718,57.31640291213989,elevator_1,moving,3,-1,0,0,0,1.0109739303588867,21,0
1751331233.2546718,57.31640291213989,elevator_1,arrived,3,0,0,0,0,1.0109739303588867,21,0
